_date,total_clones,unique_clones
2022-12-02,1,1
2022-12-04,3,2
2022-12-07,2,1
2022-12-09,5,3
2022-12-10,25,3
2022-12-11,4,4
2022-12-12,2,1
2022-12-13,1,1
2022-12-16,1,1
